Rank,State,Black Population,Percent Black
1,Texas,3936669,0.14
2,Florida,3867495,0.18
3,New York,3763977,0.19
4,Georgia,3549349,0.34
5,California,3024208,0.08
6,North Carolina,2448077,0.24
7,Illinois,1991107,0.16
8,Maryland,1972270,0.33
9,Virginia,1825228,0.21
10,Pennsylvania,1705705,0.13
11,Ohio,1692390,0.14
12,Louisiana,1571529,0.34
13,Michigan,1540612,0.15
14,New Jersey,1455615,0.16
15,South Carolina,1438997,0.28
16,Alabama,1352906,0.28
17,Tennessee,1227260,0.18
18,Mississippi,1152261,0.39
19,Missouri,797005,0.13
20,Indiana,742868,0.11
21,Massachusetts,716148,0.1
22,Arkansas,499364,0.17
23,Connecticut,482577,0.14
24,Minnesota,452437,0.08
25,Wisconsin,448592,0.08
26,Arizona,446459,0.06
27,Washington,428733,0.06
28,Kentucky,428733,0.1
29,Oklahoma,373334,0.09
30,Nevada,356416,0.12
31,District of Columbia,338373,0.48
32,Colorado,326081,0.06
33,Delaware,239727,0.25
34,Kansas,221647,0.08
35,Iowa,158145,0.05
36,Oregon,135429,0.03
37,Nebraska,120916,0.06
38,Rhode Island,107361,0.1
39,West Virginia,83686,0.05
40,New Mexico,70653,0.03
41,Utah,66989,0.02
42,Hawaii,51031,0.04
43,Alaska,39950,0.05
44,New Hampshire,32481,0.02
45,North Dakota,30965,0.04
46,Maine,29923,0.02
47,South Dakota,27697,0.03
48,Idaho,25267,0.01
49,Vermont,12936,0.02
50,Montana,12007,0.01
51,Wyoming,11306,0.02
